"variable","year","value"
"45_49_Years",1990,0.1
"15_19_Years",1991,8.4
"20_24_Years",1991,53.5
"25_29_Years",1991,129.2
"30_34_Years",1991,106.8
"35_39_Years",1991,41.7
"40_44_Years",1991,6.5
"45_49_Years",1991,0.3
"15_19_Years",1992,7.9
"20_24_Years",1992,52.1
"25_29_Years",1992,128.4
"30_34_Years",1992,107.2
"35_39_Years",1992,41.7
"40_44_Years",1992,6.7
"45_49_Years",1992,0.2
"15_19_Years",1993,8.3
"20_24_Years",1993,49.8
"25_29_Years",1993,130
"30_34_Years",1993,108.8
"35_39_Years",1993,43.6
"40_44_Years",1993,7.2
"45_49_Years",1993,0.2
"15_19_Years",1994,7.4
"20_24_Years",1994,46.9
"25_29_Years",1994,129.2
"30_34_Years",1994,109.2
"35_39_Years",1994,42.6
"40_44_Years",1994,6.7
"45_49_Years",1994,0.1
"15_19_Years",1995,6.6
"20_24_Years",1995,46.9
"25_29_Years",1995,125.6
"30_34_Years",1995,107.4
"35_39_Years",1995,41.3
"40_44_Years",1995,6.5
"45_49_Years",1995,0.2
"15_19_Years",1996,6.8
"20_24_Years",1996,44.8
"25_29_Years",1996,122.8
"30_34_Years",1996,108.5
"35_39_Years",1996,42.6
"40_44_Years",1996,7
"45_49_Years",1996,0.2
"15_19_Years",1997,6.8
"20_24_Years",1997,42
"25_29_Years",1997,116.9
"30_34_Years",1997,107.3
"35_39_Years",1997,41.7
"40_44_Years",1997,7
"45_49_Years",1997,0.2
"15_19_Years",1998,7.5
"20_24_Years",1998,39.7
"25_29_Years",1998,105.2
"30_34_Years",1998,96.1
"35_39_Years",1998,39.8
"40_44_Years",1998,6.6
"45_49_Years",1998,0.2
"15_19_Years",1999,8.4
"20_24_Years",1999,37.3
"25_29_Years",1999,105.1
"30_34_Years",1999,97.5
"35_39_Years",1999,38.6
"40_44_Years",1999,6.4
"45_49_Years",1999,0.2
"15_19_Years",2000,8.8
"20_24_Years",2000,42.2
"25_29_Years",2000,110.1
"30_34_Years",2000,107.9
"35_39_Years",2000,43.3
"40_44_Years",2000,7.6
"45_49_Years",2000,0.2
"15_19_Years",2001,8.4
"20_24_Years",2001,35.7
"25_29_Years",2001,96.2
"30_34_Years",2001,94.9
"35_39_Years",2001,39.5
"40_44_Years",2001,6.8
"45_49_Years",2001,0.2
"15_19_Years",2002,8
"20_24_Years",2002,34.6
"25_29_Years",2002,91.6
"30_34_Years",2002,96.2
"35_39_Years",2002,38.2
"40_44_Years",2002,5.8
"45_49_Years",2002,0.2
"15_19_Years",2003,6.7
"20_24_Years",2003,32.4
"25_29_Years",2003,82.2
"30_34_Years",2003,90
"35_39_Years",2003,36.3
"40_44_Years",2003,6.1
"45_49_Years",2003,0.2
"15_19_Years",2004,6.6
"20_24_Years",2004,32.2
"25_29_Years",2004,80.6
"30_34_Years",2004,89.9
"35_39_Years",2004,35.6
"40_44_Years",2004,6.3
"45_49_Years",2004,0.2
"15_19_Years",2005,7.2
"20_24_Years",2005,32.5
"25_29_Years",2005,80.7
"30_34_Years",2005,89.2
"35_39_Years",2005,36.8
"40_44_Years",2005,6.2
"45_49_Years",2005,0.2
"15_19_Years",2006,6.6
"20_24_Years",2006,30.6
"25_29_Years",2006,79.6
"30_34_Years",2006,93.1
"35_39_Years",2006,38.7
"40_44_Years",2006,6.4
"45_49_Years",2006,0.2
"15_19_Years",2007,6.1
"20_24_Years",2007,31.2
"25_29_Years",2007,78.7
"30_34_Years",2007,94.4
"35_39_Years",2007,41.5
"40_44_Years",2007,6.4
"45_49_Years",2007,0.2
"15_19_Years",2008,6.1
"20_24_Years",2008,29.1
"25_29_Years",2008,78.9
"30_34_Years",2008,94.6
"35_39_Years",2008,41.5
"40_44_Years",2008,6.6
"45_49_Years",2008,0.2
"15_19_Years",2009,5
"20_24_Years",2009,25.4
"25_29_Years",2009,74.2
"30_34_Years",2009,90.1
"35_39_Years",2009,42.6
"40_44_Years",2009,7
"45_49_Years",2009,0.3
"15_19_Years",2010,4.8
"20_24_Years",2010,23.3
"25_29_Years",2010,68.1
"30_34_Years",2010,86
"35_39_Years",2010,42.2
"40_44_Years",2010,6.1
"45_49_Years",2010,0.3
"15_19_Years",2011,4.7
"20_24_Years",2011,22.4
"25_29_Years",2011,73.4
"30_34_Years",2011,89.5
"35_39_Years",2011,42.4
"40_44_Years",2011,7.2
"45_49_Years",2011,0.3
"15_19_Years",2012,4.3
"20_24_Years",2012,22.2
"25_29_Years",2012,76.7
"30_34_Years",2012,99.5
"35_39_Years",2012,46.3
"40_44_Years",2012,8
"45_49_Years",2012,0.3
"15_19_Years",2013,3.8
"20_24_Years",2013,19.7
"25_29_Years",2013,70.5
"30_34_Years",2013,90.2
"35_39_Years",2013,44.7
"40_44_Years",2013,8
"45_49_Years",2013,0.3
"15_19_Years",2014,3.3
"20_24_Years",2014,19.5
"25_29_Years",2014,71.1
"30_34_Years",2014,99.3
"35_39_Years",2014,48.3
"40_44_Years",2014,8.3
"45_49_Years",2014,0.3
"15_19_Years",2015,2.7
"20_24_Years",2015,18.7
"25_29_Years",2015,68.7
"30_34_Years",2015,98.5
"35_39_Years",2015,49.9
"40_44_Years",2015,8.9
"45_49_Years",2015,0.4
"15_19_Years",2016,2.7
"20_24_Years",2016,17
"25_29_Years",2016,65.8
"30_34_Years",2016,96.2
"35_39_Years",2016,49.7
"40_44_Years",2016,8.8
"45_49_Years",2016,0.3
"15_19_Years",2017,2.6
"20_24_Years",2017,15.1
"25_29_Years",2017,62.2
"30_34_Years",2017,93.3
"35_39_Years",2017,48.6
"40_44_Years",2017,9
"45_49_Years",2017,0.5
"15_19_Years",2018,2.5
"20_24_Years",2018,14.4
"25_29_Years",2018,60.6
"30_34_Years",2018,92.9
"35_39_Years",2018,48.4
"40_44_Years",2018,8.8
"45_49_Years",2018,0.5
"15_19_Years",2019,2.5
"20_24_Years",2019,12.7
"25_29_Years",2019,59.4
"30_34_Years",2019,92.4
"35_39_Years",2019,50.1
"40_44_Years",2019,9.9
"45_49_Years",2019,0.4
"15_19_Years",2020,2.3
"20_24_Years",2020,12.7
"25_29_Years",2020,54.6
"30_34_Years",2020,90.8
"35_39_Years",2020,49
"40_44_Years",2020,9.5
"45_49_Years",2020,0.5
"15_19_Years",2021,2.2
"20_24_Years",2021,11.7
"25_29_Years",2021,53.4
"30_34_Years",2021,92.9
"35_39_Years",2021,53.6
"40_44_Years",2021,10.2
"45_49_Years",2021,0.3
"15_19_Years",2022,2.1
"20_24_Years",2022,11.2
"25_29_Years",2022,48.8
"30_34_Years",2022,86.7
"35_39_Years",2022,49.4
"40_44_Years",2022,9.8
"45_49_Years",2022,0.4
"15_19_Years",2023,2.2
"20_24_Years",2023,10.6
"25_29_Years",2023,43.7
"30_34_Years",2023,78.7
"35_39_Years",2023,47.9
"40_44_Years",2023,9.6
"45_49_Years",2023,0.6
"15_19_Years",2024,2.3
"20_24_Years",2024,9.8
"25_29_Years",2024,42.6
"30_34_Years",2024,79.3
"35_39_Years",2024,50
"40_44_Years",2024,10.2
"45_49_Years",2024,0.7
"15_19_Years",2025,1.3
"20_24_Years",2025,8.7
"25_29_Years",2025,38.1
"30_34_Years",2025,69.7
"35_39_Years",2025,46
"40_44_Years",2025,9.5
"45_49_Years",2025,0.5
