"variable","year","value"
"Crude_Birth_Rate",1971,22.3
"Gross_Reproduction_Rate",1971,1.46
"Indians",1971,3.14
"Malays",1971,3.25
"Net_Reproduction_Rate",1971,1.41
"Resident_Live_Births",1971,NA
"Total_Fertility_Rate_TFR",1971,3.02
"Total_Live_Births",1971,47088
"15_19_Years",1972,25.3
"20_24_Years",1972,137.4
"25_29_Years",1972,218
"30_34_Years",1972,139.2
"35_39_Years",1972,66.1
"40_44_Years",1972,20.9
"45_49_Years",1972,NA
"Chinese",1972,3
"Citizen_Live_Births",1972,NA
"Crude_Birth_Rate",1972,23.1
"Gross_Reproduction_Rate",1972,1.47
"Indians",1972,3.08
"Malays",1972,3.26
"Net_Reproduction_Rate",1972,1.42
"Resident_Live_Births",1972,NA
"Total_Fertility_Rate_TFR",1972,3.04
"Total_Live_Births",1972,49678
"15_19_Years",1973,24.2
"20_24_Years",1973,130.5
"25_29_Years",1973,199.5
"30_34_Years",1973,128.4
"35_39_Years",1973,57.6
"40_44_Years",1973,17.4
"45_49_Years",1973,NA
"Chinese",1973,2.79
"Citizen_Live_Births",1973,NA
"Crude_Birth_Rate",1973,22
"Gross_Reproduction_Rate",1973,1.35
"Indians",1973,2.61
"Malays",1973,2.88
"Net_Reproduction_Rate",1973,1.3
"Resident_Live_Births",1973,NA
"Total_Fertility_Rate_TFR",1973,2.79
"Total_Live_Births",1973,48269
"15_19_Years",1974,20.8
"20_24_Years",1974,118.9
"25_29_Years",1974,172.2
"30_34_Years",1974,102.9
"35_39_Years",1974,42.6
"40_44_Years",1974,12.7
"45_49_Years",1974,NA
"Chinese",1974,2.33
"Citizen_Live_Births",1974,NA
"Crude_Birth_Rate",1974,19.4
"Gross_Reproduction_Rate",1974,1.13
"Indians",1974,2.3
"Malays",1974,2.46
"Net_Reproduction_Rate",1974,1.09
"Resident_Live_Births",1974,NA
"Total_Fertility_Rate_TFR",1974,2.35
"Total_Live_Births",1974,43268
"15_19_Years",1975,16.8
"20_24_Years",1975,102.1
"25_29_Years",1975,154.5
"30_34_Years",1975,94.9
"35_39_Years",1975,36.3
"40_44_Years",1975,10
"45_49_Years",1975,NA
"Chinese",1975,2.06
"Citizen_Live_Births",1975,NA
"Crude_Birth_Rate",1975,17.7
"Gross_Reproduction_Rate",1975,1
"Indians",1975,1.95
"Malays",1975,2.12
"Net_Reproduction_Rate",1975,0.97
"Resident_Live_Births",1975,NA
"Total_Fertility_Rate_TFR",1975,2.07
"Total_Live_Births",1975,39948
"15_19_Years",1976,16.2
"20_24_Years",1976,107.2
"25_29_Years",1976,160.2
"30_34_Years",1976,95.9
"35_39_Years",1976,33.8
"40_44_Years",1976,8.1
"45_49_Years",1976,NA
"Chinese",1976,2.15
"Citizen_Live_Births",1976,NA
"Crude_Birth_Rate",1976,18.7
"Gross_Reproduction_Rate",1976,1.02
"Indians",1976,1.84
"Malays",1976,1.93
"Net_Reproduction_Rate",1976,0.98
"Resident_Live_Births",1976,NA
"Total_Fertility_Rate_TFR",1976,2.11
"Total_Live_Births",1976,42783
"15_19_Years",1977,13.4
"20_24_Years",1977,90.3
"25_29_Years",1977,138.9
"30_34_Years",1977,85.2
"35_39_Years",1977,28.7
"40_44_Years",1977,6.9
"45_49_Years",1977,NA
"Chinese",1977,1.81
"Citizen_Live_Births",1977,NA
"Crude_Birth_Rate",1977,16.5
"Gross_Reproduction_Rate",1977,0.88
"Indians",1977,1.7
"Malays",1977,1.87
"Net_Reproduction_Rate",1977,0.85
"Resident_Live_Births",1977,NA
"Total_Fertility_Rate_TFR",1977,1.82
"Total_Live_Births",1977,38364
"15_19_Years",1978,11.8
"20_24_Years",1978,86.8
"25_29_Years",1978,140.9
"30_34_Years",1978,86.8
"35_39_Years",1978,26.7
"40_44_Years",1978,5.3
"45_49_Years",1978,NA
"Chinese",1978,1.78
"Citizen_Live_Births",1978,NA
"Crude_Birth_Rate",1978,16.8
"Gross_Reproduction_Rate",1978,0.87
"Indians",1978,1.79
"Malays",1978,1.83
"Net_Reproduction_Rate",1978,0.84
"Resident_Live_Births",1978,NA
"Total_Fertility_Rate_TFR",1978,1.79
"Total_Live_Births",1978,39441
"15_19_Years",1979,11.4
"20_24_Years",1979,85.1
"25_29_Years",1979,139.3
"30_34_Years",1979,88.4
"35_39_Years",1979,27.5
"40_44_Years",1979,5.5
"45_49_Years",1979,NA
"Chinese",1979,1.77
"Citizen_Live_Births",1979,NA
"Crude_Birth_Rate",1979,17.1
"Gross_Reproduction_Rate",1979,0.85
"Indians",1979,1.88
"Malays",1979,1.84
"Net_Reproduction_Rate",1979,0.82
"Resident_Live_Births",1979,NA
"Total_Fertility_Rate_TFR",1979,1.79
"Total_Live_Births",1979,40779
"15_19_Years",1980,12.7
"20_24_Years",1980,84.9
"25_29_Years",1980,144.5
"30_34_Years",1980,87.8
"35_39_Years",1980,28
"40_44_Years",1980,5.8
"45_49_Years",1980,0.5
"Chinese",1980,1.73
"Citizen_Live_Births",1980,39600
"Crude_Birth_Rate",1980,17.6
"Gross_Reproduction_Rate",1980,0.88
"Indians",1980,2.03
"Malays",1980,2.2
"Net_Reproduction_Rate",1980,0.86
"Resident_Live_Births",1980,40100
"Total_Fertility_Rate_TFR",1980,1.82
"Total_Live_Births",1980,41217
"15_19_Years",1981,11.8
"20_24_Years",1981,84.2
"25_29_Years",1981,141.2
"30_34_Years",1981,84.2
"35_39_Years",1981,29.3
"40_44_Years",1981,5.5
"45_49_Years",1981,0.4
"Chinese",1981,1.67
"Citizen_Live_Births",1981,40498
"Crude_Birth_Rate",1981,17.6
"Gross_Reproduction_Rate",1981,0.86
"Indians",1981,1.97
"Malays",1981,2.25
"Net_Reproduction_Rate",1981,0.84
"Resident_Live_Births",1981,41000
"Total_Fertility_Rate_TFR",1981,1.78
"Total_Live_Births",1981,42250
"15_19_Years",1982,11.4
"20_24_Years",1982,80.2
"25_29_Years",1982,136.4
"30_34_Years",1982,84.5
"35_39_Years",1982,31
"40_44_Years",1982,4.9
"45_49_Years",1982,0.3
"Chinese",1982,1.62
"Citizen_Live_Births",1982,40794
"Crude_Birth_Rate",1982,17.5
"Gross_Reproduction_Rate",1982,0.83
"Indians",1982,1.93
"Malays",1982,2.27
"Net_Reproduction_Rate",1982,0.82
"Resident_Live_Births",1982,41300
"Total_Fertility_Rate_TFR",1982,1.74
"Total_Live_Births",1982,42654
"15_19_Years",1983,10.4
"20_24_Years",1983,72.4
"25_29_Years",1983,125.5
"30_34_Years",1983,79.9
"35_39_Years",1983,29.5
"40_44_Years",1983,3.9
"45_49_Years",1983,0.2
"Chinese",1983,1.47
"Citizen_Live_Births",1983,38768
"Crude_Birth_Rate",1983,16.3
"Gross_Reproduction_Rate",1983,0.77
"Indians",1983,1.83
"Malays",1983,2.21
"Net_Reproduction_Rate",1983,0.76
"Resident_Live_Births",1983,39300
"Total_Fertility_Rate_TFR",1983,1.61
"Total_Live_Births",1983,40585
"15_19_Years",1984,10.3
"20_24_Years",1984,68.6
"25_29_Years",1984,124.2
"30_34_Years",1984,83
"35_39_Years",1984,32.1
"40_44_Years",1984,4.9
"45_49_Years",1984,0.2
"Chinese",1984,1.46
"Citizen_Live_Births",1984,39689
"Crude_Birth_Rate",1984,16.5
"Gross_Reproduction_Rate",1984,0.77
"Indians",1984,1.84
"Malays",1984,2.27
"Net_Reproduction_Rate",1984,0.76
"Resident_Live_Births",1984,40200
"Total_Fertility_Rate_TFR",1984,1.62
"Total_Live_Births",1984,41556
"15_19_Years",1985,9.6
"20_24_Years",1985,68
"25_29_Years",1985,123.9
"30_34_Years",1985,85.6
"35_39_Years",1985,31.1
"40_44_Years",1985,4.5
"45_49_Years",1985,0.2
"Chinese",1985,1.46
"Citizen_Live_Births",1985,40567
"Crude_Birth_Rate",1985,16.6
"Gross_Reproduction_Rate",1985,0.78
"Indians",1985,1.79
"Malays",1985,2.28
"Net_Reproduction_Rate",1985,0.76
"Resident_Live_Births",1985,41100
"Total_Fertility_Rate_TFR",1985,1.61
"Total_Live_Births",1985,42484
"15_19_Years",1986,8.6
"20_24_Years",1986,60.4
"25_29_Years",1986,110.1
"30_34_Years",1986,74.4
"35_39_Years",1986,28.4
"40_44_Years",1986,4.7
"45_49_Years",1986,0.2
"Chinese",1986,1.25
"Citizen_Live_Births",1986,36630
"Crude_Birth_Rate",1986,14.8
"Gross_Reproduction_Rate",1986,0.69
"Indians",1986,1.73
"Malays",1986,2.22
"Net_Reproduction_Rate",1986,0.68
"Resident_Live_Births",1986,37159
"Total_Fertility_Rate_TFR",1986,1.43
"Total_Live_Births",1986,38379
"15_19_Years",1987,7.7
"20_24_Years",1987,59.7
"25_29_Years",1987,124.8
"30_34_Years",1987,92.5
"35_39_Years",1987,33.5
"40_44_Years",1987,5.9
"45_49_Years",1987,0.2
"Chinese",1987,1.46
"Citizen_Live_Births",1987,41738
"Crude_Birth_Rate",1987,16.6
"Gross_Reproduction_Rate",1987,0.78
"Indians",1987,1.76
"Malays",1987,2.34
"Net_Reproduction_Rate",1987,0.77
"Resident_Live_Births",1987,42362
"Total_Fertility_Rate_TFR",1987,1.62
"Total_Live_Births",1987,43616
"15_19_Years",1988,7.3
"20_24_Years",1988,65
"25_29_Years",1988,147.5
"30_34_Years",1988,118.9
"35_39_Years",1988,44.9
"40_44_Years",1988,7.4
"45_49_Years",1988,0
"Chinese",1988,1.84
"Citizen_Live_Births",1988,50822
"Crude_Birth_Rate",1988,19.8
"Gross_Reproduction_Rate",1988,0.95
"Indians",1988,1.89
"Malays",1988,2.51
"Net_Reproduction_Rate",1988,0.93
"Resident_Live_Births",1988,51537
"Total_Fertility_Rate_TFR",1988,1.96
"Total_Live_Births",1988,52957
"15_19_Years",1989,7.2
"20_24_Years",1989,59.7
"25_29_Years",1989,129.7
"30_34_Years",1989,104.5
"35_39_Years",1989,42.1
"40_44_Years",1989,7.6
"45_49_Years",1989,0.2
"Chinese",1989,1.56
"Citizen_Live_Births",1989,45623
"Crude_Birth_Rate",1989,17.5
"Gross_Reproduction_Rate",1989,0.85
"Indians",1989,1.92
"Malays",1989,2.62
"Net_Reproduction_Rate",1989,0.83
"Resident_Live_Births",1989,46361
"Total_Fertility_Rate_TFR",1989,1.75
"Total_Live_Births",1989,47669
"15_19_Years",1990,8.3
"20_24_Years",1990,58.7
"25_29_Years",1990,136
"30_34_Years",1990,110.8
"35_39_Years",1990,44.3
"40_44_Years",1990,7.4
"45_49_Years",1990,0.1
"Chinese",1990,1.65
"Citizen_Live_Births",1990,48820
"Crude_Birth_Rate",1990,18.2
"Gross_Reproduction_Rate",1990,0.88
"Indians",1990,1.89
"Malays",1990,2.69
"Net_Reproduction_Rate",1990,0.87
"Resident_Live_Births",1990,49787
"Total_Fertility_Rate_TFR",1990,1.83
"Total_Live_Births",1990,51142
"15_19_Years",1991,8.4
"20_24_Years",1991,53.5
"25_29_Years",1991,129.2
"30_34_Years",1991,106.8
"35_39_Years",1991,41.7
"40_44_Years",1991,6.5
"45_49_Years",1991,0.3
"Chinese",1991,1.54
"Citizen_Live_Births",1991,46625
"Crude_Birth_Rate",1991,17.1
"Gross_Reproduction_Rate",1991,0.84
"Indians",1991,1.84
"Malays",1991,2.63
"Net_Reproduction_Rate",1991,0.83
"Resident_Live_Births",1991,47805
"Total_Fertility_Rate_TFR",1991,1.73
"Total_Live_Births",1991,49114
"15_19_Years",1992,7.9
"20_24_Years",1992,52.1
"25_29_Years",1992,128.4
"30_34_Years",1992,107.2
"35_39_Years",1992,41.7
"40_44_Years",1992,6.7
"45_49_Years",1992,0.2
"Chinese",1992,1.53
"Citizen_Live_Births",1992,46477
"Crude_Birth_Rate",1992,16.8
"Gross_Reproduction_Rate",1992,0.83
"Indians",1992,1.9
"Malays",1992,2.61
"Net_Reproduction_Rate",1992,0.82
"Resident_Live_Births",1992,47907
"Total_Fertility_Rate_TFR",1992,1.72
"Total_Live_Births",1992,49402
"15_19_Years",1993,8.3
"20_24_Years",1993,49.8
"25_29_Years",1993,130
"30_34_Years",1993,108.8
"35_39_Years",1993,43.6
"40_44_Years",1993,7.2
"45_49_Years",1993,0.2
"Chinese",1993,1.55
"Citizen_Live_Births",1993,47002
"Crude_Birth_Rate",1993,16.8
"Gross_Reproduction_Rate",1993,0.84
"Indians",1993,1.94
"Malays",1993,2.62
"Net_Reproduction_Rate",1993,0.83
"Resident_Live_Births",1993,48739
"Total_Fertility_Rate_TFR",1993,1.74
"Total_Live_Births",1993,50225
"15_19_Years",1994,7.4
"20_24_Years",1994,46.9
"25_29_Years",1994,129.2
"30_34_Years",1994,109.2
"35_39_Years",1994,42.6
"40_44_Years",1994,6.7
"45_49_Years",1994,0.1
"Chinese",1994,1.54
"Citizen_Live_Births",1994,46228
"Crude_Birth_Rate",1994,16.2
"Gross_Reproduction_Rate",1994,0.83
"Indians",1994,1.81
"Malays",1994,2.54
"Net_Reproduction_Rate",1994,0.82
"Resident_Live_Births",1994,48075
"Total_Fertility_Rate_TFR",1994,1.71
"Total_Live_Births",1994,49554
"15_19_Years",1995,6.6
"20_24_Years",1995,46.9
"25_29_Years",1995,125.6
"30_34_Years",1995,107.4
"35_39_Years",1995,41.3
"40_44_Years",1995,6.5
"45_49_Years",1995,0.2
"Chinese",1995,1.51
"Citizen_Live_Births",1995,44992
"Crude_Birth_Rate",1995,15.6
"Gross_Reproduction_Rate",1995,0.8
"Indians",1995,1.71
"Malays",1995,2.51
"Net_Reproduction_Rate",1995,0.8
"Resident_Live_Births",1995,46916
"Total_Fertility_Rate_TFR",1995,1.67
"Total_Live_Births",1995,48635
"15_19_Years",1996,6.8
"20_24_Years",1996,44.8
"25_29_Years",1996,122.8
"30_34_Years",1996,108.5
"35_39_Years",1996,42.6
"40_44_Years",1996,7
"45_49_Years",1996,0.2
"Chinese",1996,1.5
"Citizen_Live_Births",1996,44513
"Crude_Birth_Rate",1996,15.2
"Gross_Reproduction_Rate",1996,0.8
"Indians",1996,1.74
