Year,DataSeries,Value
2013,20 - 24 Years,19.7
2013,25 - 29 Years,70.5
2013,30 - 34 Years,90.2
2013,35 - 39 Years,44.7
2013,40 - 44 Years,8
2013,45 - 49 Years,0.3
2013,Chinese,1.05
2013,Citizen Live-Births,31017
2013,Crude Birth Rate,9.3
2013,Gross Reproduction Rate,0.57
2013,Indians,1.11
2013,Malays,1.66
2013,Net Reproduction Rate,0.57
2013,Resident Live-Births,35681
2013,Total Fertility Rate (TFR),1.19
2013,Total Live-Births,39720
2014,15 - 19 Years,3.3
2014,20 - 24 Years,19.5
2014,25 - 29 Years,71.1
2014,30 - 34 Years,99.3
2014,35 - 39 Years,48.3
2014,40 - 44 Years,8.3
2014,45 - 49 Years,0.3
2014,Chinese,1.13
2014,Citizen Live-Births,33193
2014,Crude Birth Rate,9.8
2014,Gross Reproduction Rate,0.61
2014,Indians,1.13
2014,Malays,1.73
2014,Net Reproduction Rate,0.6
2014,Resident Live-Births,37967
2014,Total Fertility Rate (TFR),1.25
2014,Total Live-Births,42232
2015,15 - 19 Years,2.7
2015,20 - 24 Years,18.7
2015,25 - 29 Years,68.7
2015,30 - 34 Years,98.5
2015,35 - 39 Years,49.9
2015,40 - 44 Years,8.9
2015,45 - 49 Years,0.4
2015,Chinese,1.1
2015,Citizen Live-Births,33725
2015,Crude Birth Rate,9.7
2015,Gross Reproduction Rate,0.6
2015,Indians,1.15
2015,Malays,1.79
2015,Net Reproduction Rate,0.6
2015,Resident Live-Births,37861
2015,Total Fertility Rate (TFR),1.24
2015,Total Live-Births,42185
2016,15 - 19 Years,2.7
2016,20 - 24 Years,17
2016,25 - 29 Years,65.8
2016,30 - 34 Years,96.2
2016,35 - 39 Years,49.7
2016,40 - 44 Years,8.8
2016,45 - 49 Years,0.3
2016,Chinese,1.07
2016,Citizen Live-Births,33167
2016,Crude Birth Rate,9.4
2016,Gross Reproduction Rate,0.58
2016,Indians,1.04
2016,Malays,1.8
2016,Net Reproduction Rate,0.58
2016,Resident Live-Births,36875
2016,Total Fertility Rate (TFR),1.2
2016,Total Live-Births,41251
2017,15 - 19 Years,2.6
2017,20 - 24 Years,15.1
2017,25 - 29 Years,62.2
2017,30 - 34 Years,93.3
2017,35 - 39 Years,48.6
2017,40 - 44 Years,9
2017,45 - 49 Years,0.5
2017,Chinese,1.01
2017,Citizen Live-Births,32356
2017,Crude Birth Rate,8.9
2017,Gross Reproduction Rate,0.56
2017,Indians,1
2017,Malays,1.82
2017,Net Reproduction Rate,0.56
2017,Resident Live-Births,35444
2017,Total Fertility Rate (TFR),1.16
2017,Total Live-Births,39615
2018,15 - 19 Years,2.5
2018,20 - 24 Years,14.4
2018,25 - 29 Years,60.6
2018,30 - 34 Years,92.9
2018,35 - 39 Years,48.4
2018,40 - 44 Years,8.8
2018,45 - 49 Years,0.5
2018,Chinese,0.98
2018,Citizen Live-Births,32413
2018,Crude Birth Rate,8.8
2018,Gross Reproduction Rate,0.56
2018,Indians,1
2018,Malays,1.85
2018,Net Reproduction Rate,0.55
2018,Resident Live-Births,35040
2018,Total Fertility Rate (TFR),1.14
2018,Total Live-Births,39039
2019,15 - 19 Years,2.5
2019,20 - 24 Years,12.7
2019,25 - 29 Years,59.4
2019,30 - 34 Years,92.4
2019,35 - 39 Years,50.1
2019,40 - 44 Years,9.9
2019,45 - 49 Years,0.4
2019,Chinese,0.99
2019,Citizen Live-Births,32844
2019,Crude Birth Rate,8.8
2019,Gross Reproduction Rate,0.56
2019,Indians,0.98
2019,Malays,1.8
2019,Net Reproduction Rate,0.56
2019,Resident Live-Births,35330
2019,Total Fertility Rate (TFR),1.14
2019,Total Live-Births,39279
2020,15 - 19 Years,2.3
2020,20 - 24 Years,12.7
2020,25 - 29 Years,54.6
2020,30 - 34 Years,90.8
2020,35 - 39 Years,49
2020,40 - 44 Years,9.5
2020,45 - 49 Years,0.5
2020,Chinese,0.94
2020,Citizen Live-Births,31816
2020,Crude Birth Rate,8.5
2020,Gross Reproduction Rate,0.53
2020,Indians,0.96
2020,Malays,1.82
2020,Net Reproduction Rate,0.53
2020,Resident Live-Births,34233
2020,Total Fertility Rate (TFR),1.1
2020,Total Live-Births,38590
2021,15 - 19 Years,2.2
2021,20 - 24 Years,11.7
2021,25 - 29 Years,53.4
2021,30 - 34 Years,92.9
2021,35 - 39 Years,53.6
2021,40 - 44 Years,10.2
2021,45 - 49 Years,0.3
2021,Chinese,0.96
2021,Citizen Live-Births,31713
2021,Crude Birth Rate,8.6
2021,Gross Reproduction Rate,0.54
2021,Indians,1.05
2021,Malays,1.82
2021,Net Reproduction Rate,0.54
2021,Resident Live-Births,34183
2021,Total Fertility Rate (TFR),1.12
2021,Total Live-Births,38672
2022,15 - 19 Years,2.1
2022,20 - 24 Years,11.2
2022,25 - 29 Years,48.8
2022,30 - 34 Years,86.7
2022,35 - 39 Years,49.4
2022,40 - 44 Years,9.8
2022,45 - 49 Years,0.4
2022,Chinese,0.87
2022,Citizen Live-Births,30429
2022,Crude Birth Rate,7.9
2022,Gross Reproduction Rate,0.5
2022,Indians,1.01
2022,Malays,1.83
2022,Net Reproduction Rate,0.5
2022,Resident Live-Births,32290
2022,Total Fertility Rate (TFR),1.04
2022,Total Live-Births,35605
2023,15 - 19 Years,2.2
2023,20 - 24 Years,10.6
2023,25 - 29 Years,43.7
2023,30 - 34 Years,78.7
2023,35 - 39 Years,47.9
2023,40 - 44 Years,9.6
2023,45 - 49 Years,0.6
2023,Chinese,0.81
2023,Citizen Live-Births,28877
2023,Crude Birth Rate,7.4
2023,Gross Reproduction Rate,0.46
2023,Indians,0.95
2023,Malays,1.65
2023,Net Reproduction Rate,0.46
2023,Resident Live-Births,30518
2023,Total Fertility Rate (TFR),0.97
2023,Total Live-Births,33541
2024,15 - 19 Years,2.3
2024,20 - 24 Years,9.8
2024,25 - 29 Years,42.6
2024,30 - 34 Years,79.3
2024,35 - 39 Years,50
2024,40 - 44 Years,10.2
2024,45 - 49 Years,0.7
2024,Chinese,0.83
2024,Citizen Live-Births,29237
2024,Crude Birth Rate,7.4
2024,Gross Reproduction Rate,0.47
2024,Indians,0.91
2024,Malays,1.58
2024,Net Reproduction Rate,0.47
2024,Resident Live-Births,30808
2024,Total Fertility Rate (TFR),0.97
2024,Total Live-Births,33703
2025,15 - 19 Years,1.3
2025,20 - 24 Years,8.7
2025,25 - 29 Years,38.1
2025,30 - 34 Years,69.7
2025,35 - 39 Years,46
2025,40 - 44 Years,9.5
2025,45 - 49 Years,0.5
2025,Chinese,0.7
2025,Citizen Live-Births,26071
2025,Crude Birth Rate,6.5
2025,Gross Reproduction Rate,0.42
2025,Indians,0.92
2025,Malays,1.53
2025,Net Reproduction Rate,0.42
2025,Resident Live-Births,27393
2025,Total Fertility Rate (TFR),0.87
2025,Total Live-Births,29864
